room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
0.0,1.0,46.0,6.3,27.0,90
0.0,2.0,6.0,0.31,5.0,54
0.0,2.0,195.0,3.69,241.0,135
1.0,4.0,8.0,0.7,222.0,105
0.0,3.0,17.0,0.83,0.0,115
1.0,7.0,2.0,0.07,0.0,90
1.0,1.0,6.0,0.23,0.0,199
1.0,1.0,2.0,0.28,359.0,210
0.0,1.0,35.0,0.88,0.0,65
0.0,1.0,32.0,1.63,0.0,75
1.0,7.0,7.0,0.07,0.0,500
0.0,7.0,30.0,0.48,287.0,45
1.0,10.0,4.0,0.12,93.0,150
0.0,1.0,2.0,1.43,18.0,29
0.0,1.0,55.0,4.98,136.0,55
0.0,1.0,21.0,1.48,260.0,95
1.0,2.0,120.0,2.61,287.0,200
0.0,3.0,46.0,2.88,0.0,60
0.0,3.0,3.0,0.07,0.0,40
1.0,2.0,16.0,0.42,220.0,150
0.0,1.0,1.0,0.11,298.0,55
0.0,1.0,5.0,0.1,0.0,90
1.0,1.0,24.0,3.29,162.0,300
0.0,2.0,104.0,2.19,230.0,63
0.0,10.0,67.0,0.77,301.0,90
1.0,5.0,2.0,0.05,0.0,60
1.0,3.0,144.0,3.02,260.0,177
1.0,1.0,16.0,0.4,0.0,105
0.0,1.0,59.0,6.04,0.0,150
1.0,2.0,3.0,0.13,0.0,176
0.0,1.0,65.0,1.7,355.0,49
0.0,4.0,30.0,1.38,179.0,60
1.0,2.0,29.0,0.83,8.0,155
0.0,1.0,86.0,3.55,161.0,43
1.0,1.0,1.0,0.03,364.0,200
1.0,2.0,17.0,1.15,0.0,150
1.0,2.0,40.0,1.78,0.0,184
2.0,5.0,1.0,1.0,365.0,30
0.0,3.0,4.0,0.08,0.0,64
1.0,4.0,4.0,2.26,65.0,389
1.0,5.0,12.0,0.2,0.0,125
1.0,2.0,61.0,1.52,302.0,145
1.0,3.0,9.0,0.37,27.0,436
0.0,10.0,5.0,0.07,0.0,80
1.0,4.0,48.0,0.98,223.0,119
1.0,1.0,1.0,0.13,53.0,500
1.0,4.0,2.0,0.07,0.0,120
1.0,3.0,9.0,0.53,0.0,250
1.0,4.0,10.0,0.17,348.0,225
0.0,1.0,4.0,0.12,0.0,69
1.0,1.0,1.0,0.91,6.0,230
1.0,2.0,6.0,0.14,0.0,180
0.0,2.0,16.0,0.57,43.0,50
1.0,3.0,124.0,1.22,279.0,285
0.0,1.0,38.0,1.12,322.0,75
0.0,5.0,3.0,0.36,0.0,60
0.0,1.0,52.0,2.03,0.0,48
0.0,3.0,1.0,0.16,90.0,90
2.0,1.0,1.0,0.02,0.0,50
0.0,3.0,3.0,0.19,0.0,45
1.0,1.0,20.0,5.17,49.0,199
0.0,1.0,6.0,0.69,135.0,98
1.0,1.0,3.0,0.13,0.0,100
1.0,2.0,13.0,0.43,0.0,95
1.0,4.0,14.0,0.58,16.0,250
1.0,4.0,17.0,0.29,0.0,145
0.0,1.0,1.0,0.03,0.0,55
1.0,6.0,4.0,0.06,0.0,120
1.0,2.0,6.0,2.12,5.0,174
1.0,5.0,1.0,1.0,327.0,150
1.0,2.0,198.0,4.87,39.0,90
1.0,1.0,3.0,0.45,0.0,109
1.0,5.0,15.0,0.38,0.0,125
1.0,1.0,29.0,2.79,0.0,200
1.0,1.0,5.0,0.14,0.0,261
0.0,2.0,38.0,0.5,158.0,98
1.0,3.0,44.0,1.82,126.0,90
1.0,7.0,3.0,0.08,216.0,200
1.0,4.0,10.0,1.8,80.0,200
0.0,2.0,31.0,3.46,124.0,150
0.0,1.0,3.0,0.07,0.0,65
1.0,7.0,12.0,0.24,5.0,230
0.0,2.0,48.0,3.52,327.0,99
0.0,2.0,2.0,0.27,322.0,83
1.0,2.0,29.0,3.14,36.0,225
1.0,3.0,3.0,3.0,150.0,229
1.0,3.0,34.0,4.43,249.0,115
0.0,2.0,4.0,0.29,283.0,60
0.0,3.0,12.0,0.79,112.0,108
1.0,4.0,17.0,0.78,95.0,200
1.0,5.0,81.0,1.26,315.0,80
1.0,3.0,15.0,2.13,77.0,150
0.0,1.0,2.0,0.05,0.0,79
1.0,2.0,93.0,4.15,43.0,129
1.0,5.0,5.0,0.21,5.0,230
1.0,2.0,147.0,4.07,114.0,185
1.0,3.0,103.0,4.02,17.0,118
1.0,2.0,102.0,2.74,235.0,139
0.0,2.0,118.0,4.66,45.0,50
0.0,2.0,21.0,0.81,0.0,75
0.0,1.0,73.0,3.95,139.0,105
0.0,10.0,2.0,0.28,0.0,39
1.0,1.0,1.0,1.0,26.0,160
1.0,2.0,3.0,0.06,0.0,200
0.0,1.0,71.0,2.12,365.0,55
0.0,1.0,42.0,1.21,365.0,80
0.0,2.0,33.0,4.06,191.0,125
1.0,10.0,1.0,0.68,21.0,188
1.0,4.0,17.0,0.27,201.0,550
1.0,2.0,260.0,3.97,312.0,188
0.0,1.0,1.0,0.02,0.0,65
1.0,2.0,3.0,3.0,163.0,75
0.0,5.0,22.0,0.96,175.0,60
0.0,3.0,5.0,0.11,0.0,62
0.0,2.0,6.0,1.89,5.0,76
0.0,1.0,1.0,0.04,0.0,84
0.0,1.0,5.0,0.82,7.0,38
1.0,1.0,89.0,1.47,110.0,285
0.0,2.0,5.0,1.36,362.0,45
2.0,4.0,1.0,1.0,332.0,35
0.0,3.0,17.0,0.93,0.0,41
0.0,5.0,45.0,0.52,0.0,65
1.0,1.0,1.0,0.18,180.0,169
0.0,1.0,87.0,1.88,263.0,100
0.0,3.0,11.0,0.88,9.0,70
0.0,3.0,8.0,0.33,0.0,60
0.0,2.0,2.0,0.09,0.0,135
0.0,1.0,1.0,0.09,0.0,189
1.0,1.0,113.0,6.7,13.0,89
1.0,2.0,2.0,0.15,0.0,119
1.0,2.0,1.0,0.02,0.0,300
0.0,1.0,2.0,0.05,0.0,40
1.0,1.0,63.0,6.18,216.0,269
1.0,3.0,173.0,2.47,277.0,135
1.0,2.0,17.0,6.07,300.0,99
1.0,1.0,82.0,6.03,46.0,85
1.0,2.0,7.0,1.52,306.0,235
0.0,5.0,39.0,0.52,282.0,53
1.0,2.0,97.0,1.83,24.0,180
0.0,3.0,3.0,0.43,0.0,40
0.0,2.0,41.0,1.09,0.0,55
1.0,2.0,175.0,2.78,269.0,160
0.0,1.0,111.0,3.06,364.0,70
0.0,4.0,74.0,2.52,85.0,59
0.0,3.0,26.0,1.38,160.0,95
0.0,6.0,17.0,0.29,188.0,77
0.0,1.0,1.0,0.02,0.0,100
0.0,1.0,1.0,0.03,0.0,75
0.0,3.0,131.0,4.21,12.0,113
0.0,1.0,18.0,3.72,189.0,48
1.0,2.0,11.0,0.57,22.0,250
1.0,3.0,52.0,0.99,325.0,93
1.0,5.0,2.0,0.32,78.0,200
1.0,2.0,100.0,3.26,0.0,150
0.0,2.0,1.0,0.07,0.0,70
1.0,2.0,7.0,3.28,170.0,199
1.0,2.0,18.0,0.45,63.0,170
0.0,1.0,33.0,2.36,49.0,60
1.0,5.0,4.0,2.67,93.0,349
0.0,3.0,30.0,0.98,90.0,77
1.0,7.0,3.0,0.11,0.0,100
0.0,2.0,5.0,0.8,2.0,95
0.0,2.0,8.0,0.31,0.0,275
0.0,1.0,86.0,6.35,147.0,80
0.0,1.0,2.0,2.0,33.0,60
1.0,2.0,17.0,2.98,248.0,45
0.0,1.0,127.0,4.45,134.0,75
1.0,1.0,21.0,1.13,292.0,525
0.0,3.0,55.0,1.56,49.0,85
0.0,2.0,42.0,0.38,263.0,80
0.0,1.0,90.0,4.26,42.0,59
1.0,4.0,2.0,0.08,0.0,79
0.0,3.0,8.0,1.15,2.0,60
1.0,3.0,1.0,1.0,264.0,495
0.0,3.0,3.0,1.05,0.0,50
1.0,2.0,14.0,0.28,0.0,85
0.0,7.0,49.0,1.01,81.0,58
0.0,1.0,5.0,0.2,0.0,75
1.0,1.0,1.0,0.12,53.0,300
0.0,2.0,87.0,2.51,60.0,67
1.0,5.0,1.0,0.05,0.0,213
0.0,1.0,2.0,2.0,330.0,120
0.0,1.0,42.0,2.5,15.0,70
0.0,4.0,22.0,0.58,3.0,260
1.0,5.0,8.0,0.22,0.0,45
0.0,2.0,14.0,1.06,8.0,99
2.0,1.0,76.0,3.64,0.0,49
0.0,2.0,1.0,0.16,0.0,70
1.0,2.0,16.0,1.7,10.0,91
0.0,1.0,19.0,0.52,0.0,81
0.0,3.0,32.0,0.81,90.0,60
0.0,2.0,12.0,0.96,0.0,75
0.0,3.0,83.0,2.39,300.0,60
0.0,1.0,1.0,0.06,0.0,100
1.0,4.0,6.0,0.08,0.0,115
0.0,5.0,3.0,0.16,0.0,100
0.0,2.0,69.0,1.81,11.0,76
1.0,3.0,8.0,0.83,125.0,300
0.0,2.0,100.0,3.09,345.0,69
0.0,2.0,13.0,5.13,1.0,113
2.0,2.0,1.0,0.09,0.0,79
1.0,8.0,3.0,0.48,7.0,100
0.0,1.0,17.0,1.34,0.0,50
1.0,1.0,5.0,0.13,0.0,86
1.0,2.0,128.0,3.77,93.0,195
1.0,5.0,39.0,1.28,12.0,100
0.0,1.0,30.0,0.4,0.0,69
0.0,10.0,2.0,0.05,0.0,55
0.0,1.0,2.0,0.09,342.0,165
0.0,1.0,2.0,1.0,138.0,75
1.0,2.0,6.0,0.27,0.0,300
0.0,5.0,2.0,0.04,0.0,80
0.0,1.0,2.0,0.07,0.0,65
1.0,3.0,5.0,0.12,22.0,350
0.0,1.0,2.0,0.09,269.0,100
0.0,1.0,319.0,9.24,57.0,180
0.0,1.0,10.0,0.19,0.0,45
0.0,3.0,13.0,2.23,50.0,114
0.0,1.0,1.0,1.0,226.0,40
0.0,3.0,4.0,0.11,0.0,50
1.0,2.0,8.0,5.33,4.0,68
0.0,2.0,1.0,1.0,90.0,79
1.0,2.0,3.0,0.06,70.0,180
1.0,2.0,15.0,3.06,57.0,180
0.0,2.0,79.0,3.33,11.0,76
1.0,3.0,8.0,0.63,0.0,125
1.0,3.0,80.0,0.75,231.0,165
0.0,2.0,17.0,1.65,350.0,65
1.0,7.0,26.0,0.68,85.0,225
1.0,4.0,5.0,0.1,13.0,175
2.0,1.0,1.0,0.02,0.0,45
0.0,2.0,24.0,2.32,5.0,70
0.0,1.0,4.0,0.08,365.0,125
1.0,2.0,68.0,5.37,247.0,85
1.0,3.0,82.0,0.7,140.0,228
1.0,2.0,2.0,0.11,0.0,140
1.0,7.0,1.0,0.02,0.0,70
1.0,10.0,9.0,0.27,137.0,229
0.0,2.0,4.0,0.17,0.0,56
0.0,3.0,1.0,0.05,0.0,44
0.0,2.0,17.0,1.15,1.0,79
1.0,2.0,47.0,2.52,0.0,65
1.0,4.0,11.0,0.44,94.0,300
0.0,2.0,13.0,0.25,0.0,45
0.0,3.0,30.0,1.53,42.0,60
1.0,2.0,13.0,3.61,360.0,125
0.0,3.0,3.0,0.3,0.0,55
1.0,6.0,6.0,0.31,12.0,159
0.0,1.0,25.0,2.73,11.0,80
1.0,3.0,6.0,0.13,18.0,175
0.0,1.0,22.0,9.85,319.0,100
1.0,2.0,6.0,0.17,0.0,349
1.0,7.0,31.0,1.38,0.0,140
1.0,2.0,3.0,0.28,0.0,71
1.0,1.0,16.0,4.21,346.0,325
0.0,2.0,2.0,0.08,0.0,44
1.0,3.0,2.0,0.03,0.0,200
1.0,2.0,69.0,2.66,275.0,125
0.0,2.0,1.0,1.0,344.0,91
0.0,1.0,134.0,4.36,227.0,80
1.0,2.0,237.0,3.7,266.0,190
0.0,1.0,4.0,0.7,69.0,65
0.0,1.0,18.0,1.79,71.0,50
1.0,1.0,7.0,0.19,0.0,125
0.0,1.0,2.0,0.06,0.0,40
0.0,2.0,35.0,0.41,189.0,80
1.0,5.0,1.0,0.16,0.0,125
1.0,1.0,5.0,0.42,364.0,450
0.0,2.0,2.0,0.1,54.0,53
0.0,1.0,13.0,1.32,65.0,80
0.0,8.0,29.0,4.05,54.0,40
1.0,2.0,187.0,3.93,300.0,100
0.0,1.0,22.0,9.85,236.0,48
1.0,4.0,12.0,3.96,0.0,125
1.0,1.0,7.0,0.67,1.0,71
1.0,2.0,5.0,1.17,58.0,300
1.0,7.0,19.0,0.56,333.0,155
0.0,1.0,3.0,3.0,178.0,60
0.0,4.0,99.0,2.06,11.0,84
0.0,2.0,31.0,2.31,36.0,40
0.0,1.0,1.0,0.02,0.0,85
1.0,3.0,2.0,0.07,0.0,88
0.0,1.0,10.0,0.42,365.0,246
0.0,3.0,3.0,0.41,179.0,45
1.0,2.0,9.0,2.11,323.0,230
0.0,1.0,13.0,0.51,0.0,100
1.0,2.0,15.0,3.52,292.0,120
0.0,1.0,120.0,2.35,355.0,65
1.0,7.0,10.0,0.45,5.0,250
1.0,5.0,9.0,0.2,0.0,150
1.0,1.0,1.0,0.25,89.0,240
0.0,1.0,4.0,0.27,365.0,130
1.0,2.0,9.0,0.2,0.0,75
0.0,2.0,1.0,0.18,156.0,80
1.0,3.0,20.0,0.96,35.0,275
1.0,7.0,9.0,0.16,268.0,100
1.0,1.0,4.0,0.83,80.0,128
1.0,7.0,17.0,0.54,11.0,100
0.0,4.0,3.0,0.27,0.0,30
0.0,1.0,9.0,3.0,248.0,58
0.0,3.0,50.0,0.92,98.0,50
0.0,1.0,8.0,0.62,0.0,60
1.0,2.0,7.0,5.0,89.0,146
1.0,2.0,13.0,2.89,247.0,65
0.0,7.0,1.0,0.04,0.0,45
0.0,3.0,2.0,0.05,0.0,98
0.0,1.0,2.0,0.07,1.0,60
1.0,2.0,56.0,2.91,305.0,170
1.0,1.0,6.0,1.49,0.0,218
1.0,1.0,16.0,7.27,50.0,169
0.0,2.0,7.0,0.29,318.0,36
0.0,1.0,38.0,0.97,365.0,69
0.0,1.0,3.0,0.13,0.0,95
1.0,2.0,8.0,0.23,0.0,260
1.0,5.0,5.0,3.19,221.0,335
1.0,1.0,45.0,4.93,34.0,89
1.0,5.0,23.0,1.7,293.0,90
1.0,2.0,4.0,0.33,0.0,200
0.0,2.0,20.0,1.96,344.0,43
0.0,5.0,1.0,0.16,0.0,35
1.0,1.0,4.0,2.26,365.0,100
0.0,2.0,1.0,0.03,179.0,79
1.0,2.0,161.0,3.21,252.0,198
0.0,2.0,44.0,5.57,51.0,92
1.0,2.0,14.0,1.43,33.0,195
0.0,1.0,9.0,2.37,53.0,98
0.0,5.0,1.0,0.01,210.0,270
1.0,10.0,2.0,0.05,0.0,84
0.0,2.0,1.0,0.16,363.0,60
2.0,1.0,14.0,1.65,89.0,24
0.0,5.0,28.0,0.6,282.0,89
0.0,1.0,205.0,4.39,349.0,120
0.0,2.0,10.0,0.5,0.0,50
1.0,2.0,5.0,0.15,0.0,275
0.0,3.0,102.0,2.02,364.0,50
1.0,1.0,10.0,0.28,0.0,200
0.0,1.0,21.0,0.36,331.0,67
1.0,2.0,3.0,0.19,0.0,86
1.0,2.0,4.0,0.19,0.0,95
0.0,3.0,3.0,0.38,5.0,160
0.0,1.0,159.0,5.88,178.0,99
1.0,4.0,5.0,0.1,21.0,200
0.0,1.0,36.0,2.52,365.0,100
0.0,2.0,15.0,2.27,356.0,60
0.0,2.0,11.0,1.76,117.0,120
0.0,4.0,37.0,0.76,196.0,65
1.0,3.0,5.0,0.07,365.0,99
0.0,1.0,1.0,1.0,350.0,80
0.0,2.0,15.0,2.07,13.0,89
1.0,1.0,17.0,2.14,75.0,102
1.0,2.0,3.0,0.81,350.0,227
1.0,3.0,2.0,0.27,0.0,250
1.0,3.0,2.0,0.1,0.0,130
1.0,2.0,11.0,0.25,0.0,87
0.0,1.0,2.0,0.18,0.0,70
1.0,2.0,112.0,4.67,103.0,65
0.0,1.0,86.0,13.3,335.0,100
1.0,3.0,1.0,0.03,0.0,180
0.0,1.0,62.0,3.36,7.0,50
1.0,4.0,2.0,0.52,0.0,130
1.0,2.0,1.0,0.03,0.0,135
1.0,3.0,144.0,2.87,249.0,98
1.0,3.0,58.0,1.72,138.0,165
0.0,3.0,74.0,2.42,84.0,55
1.0,5.0,8.0,0.12,9.0,199
1.0,10.0,1.0,0.65,90.0,130
1.0,1.0,5.0,5.0,86.0,177
1.0,4.0,3.0,0.13,0.0,92
1.0,3.0,182.0,4.33,226.0,295
0.0,2.0,29.0,1.96,3.0,80
1.0,3.0,1.0,1.0,77.0,125
1.0,2.0,22.0,1.15,132.0,350
0.0,3.0,8.0,0.77,63.0,85
0.0,5.0,3.0,0.1,179.0,65
1.0,3.0,16.0,0.6,15.0,200
1.0,1.0,23.0,3.27,0.0,70
0.0,3.0,4.0,0.6,11.0,90
0.0,3.0,8.0,0.33,0.0,47
1.0,2.0,175.0,2.93,303.0,200
1.0,2.0,107.0,3.47,81.0,130
1.0,3.0,18.0,0.37,0.0,389
0.0,1.0,4.0,0.09,0.0,73
1.0,3.0,10.0,2.48,123.0,180
0.0,1.0,9.0,3.42,35.0,69
0.0,1.0,19.0,0.9,18.0,40
1.0,2.0,15.0,4.21,325.0,211
0.0,1.0,20.0,2.82,39.0,249
1.0,2.0,4.0,0.11,0.0,115
1.0,3.0,2.0,0.03,0.0,120
1.0,1.0,26.0,0.58,333.0,120
0.0,2.0,13.0,0.28,325.0,75
0.0,5.0,1.0,0.04,6.0,50
1.0,6.0,2.0,0.03,0.0,150
0.0,2.0,1.0,1.0,181.0,80
0.0,2.0,129.0,3.32,39.0,60
1.0,2.0,3.0,0.85,106.0,408
0.0,4.0,4.0,2.86,182.0,89
0.0,1.0,2.0,2.0,5.0,75
0.0,4.0,1.0,0.03,0.0,40
1.0,3.0,1.0,0.03,0.0,200
0.0,1.0,2.0,0.82,7.0,85
1.0,4.0,5.0,0.49,1.0,120
1.0,2.0,55.0,1.37,0.0,290
1.0,3.0,12.0,0.37,261.0,360
0.0,2.0,88.0,4.73,114.0,55
0.0,2.0,17.0,0.45,30.0,65
1.0,4.0,4.0,0.1,0.0,165
0.0,2.0,48.0,0.97,122.0,88
1.0,5.0,7.0,0.16,0.0,200
1.0,5.0,12.0,3.5,107.0,120
1.0,3.0,15.0,0.7,2.0,126
1.0,7.0,1.0,0.03,0.0,160
0.0,1.0,18.0,3.62,92.0,85
0.0,7.0,49.0,0.82,296.0,140
0.0,1.0,1.0,0.03,87.0,150
1.0,3.0,58.0,1.21,81.0,350
1.0,2.0,3.0,0.08,0.0,114
1.0,4.0,9.0,3.97,328.0,140
1.0,2.0,1.0,0.6,0.0,300
0.0,5.0,4.0,0.09,89.0,55
1.0,5.0,8.0,0.94,82.0,300
0.0,1.0,315.0,6.1,76.0,100
0.0,8.0,15.0,0.24,60.0,169
1.0,2.0,1.0,1.0,341.0,159
1.0,2.0,66.0,1.13,158.0,225
1.0,2.0,4.0,1.82,178.0,100
1.0,2.0,43.0,2.74,10.0,89
0.0,4.0,6.0,1.98,55.0,75
0.0,1.0,139.0,4.43,2.0,29
1.0,4.0,8.0,0.24,0.0,88
0.0,2.0,21.0,1.35,339.0,45
0.0,2.0,26.0,0.73,84.0,90
0.0,3.0,2.0,0.04,0.0,80
1.0,3.0,7.0,0.1,364.0,350
0.0,6.0,2.0,0.16,331.0,90
1.0,6.0,1.0,0.05,0.0,250
0.0,4.0,1.0,0.04,0.0,60
1.0,1.0,17.0,0.35,175.0,295
1.0,1.0,5.0,2.88,21.0,150
0.0,3.0,3.0,0.24,0.0,150
1.0,4.0,77.0,1.65,340.0,139
0.0,1.0,34.0,5.34,66.0,60
1.0,3.0,3.0,2.43,345.0,150
1.0,2.0,13.0,0.34,317.0,159
2.0,2.0,1.0,0.04,0.0,60
0.0,2.0,3.0,0.08,0.0,125
1.0,1.0,36.0,2.96,70.0,140
0.0,1.0,1.0,0.16,180.0,425
1.0,3.0,5.0,0.37,5.0,95
0.0,4.0,2.0,2.0,28.0,95
1.0,3.0,10.0,0.17,9.0,390
0.0,4.0,11.0,0.35,0.0,30
1.0,1.0,123.0,4.54,84.0,125
1.0,1.0,17.0,2.91,340.0,251
0.0,10.0,72.0,1.07,42.0,110
1.0,2.0,10.0,0.29,13.0,150
0.0,1.0,21.0,0.38,343.0,85
0.0,2.0,77.0,2.5,68.0,90
1.0,4.0,50.0,0.51,331.0,190
0.0,1.0,177.0,7.0,180.0,80
0.0,1.0,37.0,3.1,0.0,65
0.0,2.0,1.0,1.0,343.0,60
1.0,4.0,25.0,0.34,0.0,190
0.0,2.0,14.0,2.25,7.0,150
1.0,7.0,11.0,1.3,1.0,130
1.0,6.0,3.0,0.1,0.0,290
0.0,7.0,5.0,1.95,247.0,40
1.0,3.0,15.0,1.88,19.0,150
0.0,1.0,23.0,6.0,254.0,90
0.0,4.0,3.0,0.07,0.0,55
0.0,1.0,176.0,3.57,248.0,155
0.0,2.0,188.0,3.75,2.0,85
1.0,3.0,1.0,0.04,0.0,250
0.0,3.0,51.0,1.45,96.0,40
1.0,4.0,3.0,0.24,89.0,700
0.0,3.0,23.0,0.85,177.0,70
1.0,1.0,91.0,2.28,169.0,690
1.0,1.0,3.0,0.16,0.0,220
1.0,1.0,1.0,0.21,2.0,150
0.0,2.0,3.0,0.09,0.0,55
1.0,2.0,1.0,0.42,50.0,199
0.0,1.0,14.0,0.99,0.0,45
0.0,1.0,20.0,0.32,285.0,79
1.0,2.0,1.0,0.04,0.0,190
0.0,3.0,4.0,0.33,72.0,85
1.0,3.0,1.0,0.68,11.0,200
0.0,1.0,32.0,2.83,355.0,52
1.0,3.0,201.0,2.84,256.0,179
0.0,2.0,157.0,4.54,68.0,120
0.0,1.0,1.0,0.47,125.0,700
0.0,1.0,168.0,3.11,272.0,80
1.0,1.0,1.0,0.02,0.0,199
1.0,2.0,117.0,5.33,3.0,100
0.0,5.0,1.0,0.15,0.0,43
1.0,2.0,4.0,0.09,0.0,130
1.0,3.0,24.0,2.32,51.0,165
0.0,2.0,14.0,1.57,308.0,50
1.0,1.0,3.0,0.26,0.0,222
1.0,1.0,32.0,1.18,358.0,150
0.0,1.0,26.0,3.42,297.0,90
1.0,2.0,269.0,3.15,167.0,174
0.0,2.0,12.0,1.45,19.0,60
1.0,3.0,10.0,0.28,66.0,99
1.0,3.0,15.0,4.33,175.0,125
1.0,3.0,12.0,1.01,37.0,345
0.0,2.0,10.0,2.34,319.0,54
1.0,3.0,43.0,1.24,335.0,280
0.0,7.0,2.0,0.04,0.0,40
0.0,1.0,7.0,0.21,0.0,100
0.0,1.0,11.0,0.35,0.0,38
1.0,2.0,2.0,2.0,0.0,110
1.0,2.0,68.0,2.05,48.0,160
0.0,4.0,1.0,0.02,0.0,130
0.0,2.0,17.0,1.44,126.0,80
0.0,1.0,1.0,1.0,1.0,100
1.0,2.0,12.0,3.05,340.0,234
1.0,4.0,7.0,0.69,0.0,150
1.0,1.0,49.0,0.99,0.0,99
0.0,1.0,75.0,4.93,134.0,120
1.0,2.0,15.0,0.41,3.0,300
0.0,1.0,2.0,1.71,180.0,60
0.0,10.0,1.0,0.09,300.0,55
1.0,4.0,5.0,0.13,0.0,69
0.0,1.0,9.0,1.19,310.0,60
1.0,2.0,8.0,0.1,0.0,155
0.0,3.0,3.0,0.07,362.0,50
0.0,1.0,163.0,6.9,61.0,60
1.0,6.0,2.0,0.13,67.0,175
1.0,2.0,90.0,3.73,202.0,100
0.0,3.0,26.0,0.68,1.0,55
1.0,4.0,10.0,0.19,0.0,150
1.0,1.0,2.0,0.23,4.0,250
0.0,1.0,10.0,0.54,175.0,72
1.0,3.0,41.0,1.97,181.0,200
1.0,2.0,16.0,0.68,0.0,100
1.0,1.0,12.0,0.59,0.0,160
1.0,3.0,26.0,1.68,15.0,80
1.0,2.0,2.0,0.08,0.0,150
0.0,2.0,19.0,0.28,0.0,73
0.0,1.0,6.0,5.45,180.0,65
1.0,1.0,72.0,4.67,223.0,180
0.0,4.0,3.0,0.4,0.0,70
1.0,1.0,3.0,0.08,0.0,165
0.0,2.0,31.0,1.35,0.0,45
1.0,7.0,2.0,0.05,0.0,180
1.0,4.0,2.0,0.32,28.0,300
1.0,2.0,74.0,0.76,264.0,295
0.0,2.0,6.0,6.0,50.0,55
0.0,1.0,17.0,2.49,120.0,75
0.0,1.0,11.0,1.77,345.0,58
1.0,3.0,185.0,2.62,163.0,115
1.0,10.0,6.0,0.14,0.0,245
0.0,2.0,8.0,3.08,61.0,70
1.0,2.0,5.0,0.36,70.0,160
0.0,1.0,52.0,1.27,250.0,129
0.0,1.0,7.0,3.28,98.0,70
1.0,2.0,22.0,4.93,3.0,100
1.0,1.0,2.0,0.06,0.0,150
1.0,5.0,12.0,0.25,0.0,130
1.0,7.0,38.0,0.38,365.0,265
0.0,5.0,7.0,1.68,11.0,52
0.0,2.0,16.0,0.71,0.0,0
0.0,3.0,2.0,2.0,20.0,35
1.0,3.0,136.0,1.8,301.0,150
1.0,3.0,25.0,0.3,0.0,165
0.0,5.0,17.0,0.53,0.0,49
1.0,3.0,2.0,0.03,0.0,160
1.0,2.0,9.0,1.04,360.0,230
1.0,5.0,3.0,0.12,0.0,130
1.0,1.0,29.0,1.12,0.0,184
0.0,2.0,396.0,7.71,143.0,163
0.0,2.0,3.0,3.0,79.0,75
0.0,5.0,2.0,0.06,0.0,100
1.0,1.0,139.0,5.95,265.0,300
1.0,3.0,2.0,0.09,8.0,100
1.0,4.0,42.0,2.13,306.0,400
1.0,1.0,1.0,0.03,0.0,49
1.0,2.0,225.0,3.7,254.0,149
1.0,2.0,191.0,1.88,298.0,575
2.0,1.0,1.0,0.16,0.0,40
1.0,2.0,1.0,1.0,10.0,155
0.0,3.0,11.0,0.16,318.0,75
0.0,2.0,8.0,0.17,281.0,80
1.0,1.0,3.0,0.07,0.0,150
1.0,1.0,8.0,0.08,0.0,190
0.0,3.0,67.0,1.53,40.0,70
0.0,1.0,29.0,0.77,0.0,68
1.0,4.0,7.0,0.34,89.0,199
0.0,3.0,17.0,1.65,188.0,150
0.0,1.0,34.0,1.05,294.0,60
2.0,3.0,1.0,0.04,87.0,225
1.0,1.0,8.0,1.3,0.0,187
0.0,2.0,45.0,2.11,43.0,95
0.0,3.0,4.0,0.09,0.0,60
1.0,3.0,1.0,0.05,0.0,80
1.0,1.0,229.0,5.97,7.0,99
2.0,1.0,7.0,0.14,365.0,45
1.0,2.0,53.0,4.86,150.0,195
1.0,2.0,43.0,3.27,189.0,80
1.0,2.0,4.0,0.08,0.0,159
1.0,5.0,28.0,3.13,0.0,170
1.0,3.0,92.0,1.97,121.0,125
1.0,6.0,1.0,0.03,0.0,224
2.0,3.0,1.0,1.0,353.0,65
0.0,2.0,104.0,2.88,97.0,40
0.0,1.0,108.0,5.21,65.0,40
1.0,3.0,2.0,0.04,0.0,175
1.0,5.0,2.0,0.41,0.0,75
0.0,3.0,1.0,0.08,0.0,80
0.0,1.0,38.0,1.21,0.0,105
1.0,2.0,216.0,3.54,70.0,105
0.0,3.0,6.0,0.36,29.0,108
1.0,2.0,202.0,4.76,276.0,125
0.0,1.0,8.0,0.21,0.0,89
0.0,1.0,8.0,0.16,0.0,130
0.0,4.0,2.0,1.87,16.0,79
1.0,2.0,4.0,1.88,0.0,250
0.0,1.0,23.0,0.91,363.0,205
1.0,1.0,5.0,0.16,362.0,500
1.0,2.0,8.0,0.25,0.0,149
0.0,1.0,16.0,0.83,365.0,200
1.0,4.0,9.0,0.26,9.0,200
1.0,6.0,1.0,0.02,0.0,100
0.0,1.0,6.0,1.65,359.0,95
1.0,3.0,6.0,0.15,0.0,159
0.0,3.0,25.0,0.73,0.0,49
1.0,2.0,1.0,0.05,0.0,192
1.0,2.0,1.0,1.0,349.0,85
0.0,3.0,33.0,2.61,320.0,45
1.0,1.0,82.0,2.67,152.0,350
0.0,2.0,4.0,0.11,0.0,115
0.0,1.0,4.0,1.88,160.0,50
1.0,1.0,5.0,3.13,61.0,299
0.0,3.0,7.0,1.59,58.0,60
